id_da_escola,nome_da_escola,tipo_da_escola,logradouro,numero,bairro,subprefeitura,latitude,longitude,quantidade_de_material
587,EM ALMIRANTE TAMANDARE,EM,AVENIDA PRESIDENTE JOAO GOULART, 296,VIDIGAL,ZONA SUL,-22.993697,-43.235579,336
653,EM LUCIA MIGUEL PEREIRA,EM,RUA MARTAGAO GESTEIRA, SN,SAO CONRADO,ZONA SUL,-22.997417,-43.272181,159
226,EM AFRANIO PEIXOTO,EM,RUA FERREIRA PONTES, 328,ANDARAI,GRANDE TIJUCA,-22.926855,-43.254913,164
126,EM DUQUE DE CAXIAS,EM,RUA MAL JOFRE, 74,GRAJAU,GRANDE TIJUCA,-22.918541,-43.26509,399
180,ESCOLA MUNICIPAL EQUADOR,EM,BOULEVARD 28 DE SETEMBRO, 353,VILA ISABEL,GRANDE TIJUCA,-22.916152,-43.247048,185
163,EM LAUDIMIA TROTTA,EM,RUA ANTONIO BASILIO, 370,TIJUCA,GRANDE TIJUCA,-22.926842,-43.237889,576
361,EM PRUDENTE DE MORAES,EM,RUA ENES DE SOUSA, 36,TIJUCA,GRANDE TIJUCA,-22.92906,-43.232871,63
011,CIEP SAMUEL WEINER,CIEP,AVENIDA HEITOR BELTRAO, SN,TIJUCA,GRANDE TIJUCA,-22.921274,-43.227998,445
676,ESCOLA MUNICIPAL ANISIO TEIXEIRA,EM,RUA SERENATA, 40,JARDIM GUANABARA,ILHAS,-22.812441,-43.209658,180
274,EM ABEILARD FEIJO,EM,ESTRADA DA CACUIA, 1386,CACUIA,ILHAS,-22.807692,-43.181558,561
